"Account Owner","Account Name","Billing State/Province","Type","Billing Street","Billing City","Billing Country","Billing Zip/Postal Code","SE Owner","Latitude","Longitude"
"Taylor Shah","Lumen Group","TX","Customer","1027 Main St","Austin","USA","89137","Robin Kim","30.25806","-97.71218"
"Chris Lin","Metro Labs","TX","Prospect","2308 Broadway","Austin","USA","24210","Dakota Foster","30.23723","-97.71874"
"Dakota Foster","Brightline Holdings","TX","Customer","2392 Marina Blvd","Austin","USA","28355","Kendall Brown","30.26811","-97.73361"
"Blake Patel","Quantum Partners","TX","Prospect","1974 Park Ave","Austin","USA","57480","Dakota Nguyen","30.24213","-97.7181"
"Ryan Carter","Granite Corp","TX","Customer","2291 Grand Ave","Austin","USA","68080","Quinn Flores","30.28621","-97.77277"
"Leslie Carter","Ironclad Holdings","TX","Customer","2284 Broadway","Austin","USA","82374","Casey Brown","30.24392","-97.7242"
"Robin Young","Granite Systems","TX","Customer","1435 Market St","Austin","USA","96721","Dakota Carter","30.24174","-97.73495"
"Hayden Shah","Lumen Systems","TX","Customer","1744 Queen St","Austin","USA","11551","Alex Cruz","30.24654","-97.76613"
"Chris Foster","Vertex Systems","TX","Customer","1080 Grand Ave","Austin","USA","47281","Jordan Young","30.29559","-97.72982"
"Quinn Nguyen","Lattice Group","TX","Customer","1934 Peachtree St","Austin","USA","38067","Kendall Brown","30.28102","-97.72308"
"Leslie Lee","Apex Industries","TX","Customer","119 George St","Austin","USA","61297","Morgan Kim","30.26882","-97.77684"
"Dakota Patel","Cinder Corp","TX","Prospect","1732 Broadway","Austin","USA","12765","Blake Carter","30.2654","-97.74549"
"Quinn Foster","Delta Corp","TX","Customer","591 State St","Austin","USA","34964","Casey Gomez","30.27816","-97.71256"
"Casey Nguyen","Delta Industries","TX","Customer","1394 Commerce St","Austin","USA","92062","Jamie Kim","30.28686","-97.74975"
"Dakota Ellis","Catalyst Systems","TX","Prospect","444 High St","Austin","USA","15233","Sam Johnson","30.26565","-97.71885"
"Alex Ellis","Skyline Systems","TX","Customer","1468 Main St","Austin","USA","97117","Jordan Gomez","30.26309","-97.77013"
"Taylor Foster","Lattice Systems","TX","Customer","2256 Commerce St","Dallas","USA","19521","Sam Ellis","32.75166","-96.76158"
"Quinn Gomez","Granite Labs","TX","Customer","2044 Marina Blvd","Dallas","USA","57202","Leslie Ellis","32.7824","-96.79528"
"Morgan Foster","Horizon Networks","TX","Prospect","908 Orchard Rd","Dallas","USA","11072","Robin Patel","32.75925","-96.76111"
"Jamie Turner","Vector Corp","TX","Customer","1285 Church St","Dallas","USA","88283","Taylor Cruz","32.80173","-96.76578"
"Riley Kim","Northstar Group","TX","Prospect","191 Broadway","Dallas","USA","96820","Blake Johnson","32.80537","-96.77014"
"Taylor Carter","Falcon Labs","TX","Prospect","1262 Congress Ave","Dallas","USA","22658","Hayden Johnson","32.78199","-96.82178"
"Jamie Cruz","Acme Partners","TX","Customer","2065 Park Ave","Dallas","USA","95755","Leslie Johnson","32.76061","-96.82156"
"Casey Johnson","Tideway Corp","TX","Prospect","2003 Grand Ave","Dallas","USA","52844","Quinn Foster","32.77208","-96.78577"
"Robin Park","Atlas Industries","TX","Customer","1279 Queen St","Dallas","USA","21712","Hayden Turner","32.79524","-96.82277"
"Jamie Foster","Cinder Group","IL","Customer","2193 Park Ave","Chicago","USA","35942","Dakota Kim","41.88723","-87.65267"
"Drew Shah","Bluewave Labs","IL","Customer","1890 Church St","Chicago","USA","53120","Ryan Shah","41.88609","-87.62538"
"Casey Foster","Lattice Group","IL","Prospect","561 Park Ave","Chicago","USA","22544","Drew Shah","41.84925","-87.59836"
"Quinn Hall","Metro Partners","IL","Prospect","1086 Church St","Chicago","USA","64667","Robin Young","41.87317","-87.60543"
"Casey Foster","Acme Industries","IL","Customer","2161 George St","Chicago","USA","81403","Sam Nguyen","41.87007","-87.64962"
"Taylor Patel","Tideway Systems","IL","Customer","1664 George St","Chicago","USA","47898","Robin Brown","41.86453","-87.62078"
"Sam Hall","Delta Systems","IL","Customer","278 King St","Chicago","USA","69212","Sam Kim","41.89515","-87.6182"
"Ryan Flores","Sequoia Systems","IL","Prospect","97 Marina Blvd","Chicago","USA","35544","Chris Johnson","41.90494","-87.59169"
"Jamie Ellis","Granite Labs","IL","Customer","779 Marina Blvd","Chicago","USA","60511","Sam Park","41.89002","-87.59713"
"Quinn Young","Harbor Group","IL","Customer","278 Marina Blvd","Chicago","USA","23841","Casey Cruz","41.85844","-87.6556"
"Robin Kim","Harbor Group","IL","Customer","2203 Church St","Chicago","USA","43969","Quinn Nguyen","41.87056","-87.62413"
"Drew Park","Evergreen Group","IL","Prospect","1375 Station Rd","Chicago","USA","21708","Casey Lin","41.89511","-87.62527"
"Dakota Brown","Ironclad Labs","IL","Customer","1604 Orchard Rd","Chicago","USA","51570","Robin Carter","41.86402","-87.64765"
"Drew Carter","Acme Systems","IL","Prospect","1357 George St","Chicago","USA","99364","Alex Park","41.89704","-87.66709"
"Chris Flores","Northstar Group","IL","Prospect","1437 State St","Chicago","USA","19917","Jamie Cruz","41.90656","-87.62599"
"Ryan Turner","Harbor Industries","MN","Prospect","2119 Main St","Minneapolis","USA","82287","Blake Brown","44.96365","-93.23646"
"Quinn Ellis","Horizon Holdings","MN","Customer","380 State St","Minneapolis","USA","11163","Hayden Brown","44.96202","-93.27946"
"Sam Foster","Summit Partners","MN","Prospect","1995 Station Rd","Minneapolis","USA","43377","Dakota Kim","44.95026","-93.26452"
"Hayden Carter","Acme Group","MN","Prospect","2271 High St","Minneapolis","USA","94108","Leslie Cruz","44.97756","-93.24125"
"Riley Carter","Vector Corp","MN","Customer","301 Station Rd","Minneapolis","USA","50777","Dakota Ellis","44.985","-93.28344"
"Alex Shah","Ironclad Labs","MN","Prospect","558 Queen St","Minneapolis","USA","45896","Robin Cruz","44.98911","-93.29065"
"Alex Foster","Lattice Systems","MN","Prospect","1954 Elizabeth St","Minneapolis","USA","73285","Kendall Ellis","44.97058","-93.26221"
"Alex Cruz","Acme Systems","MN","Customer","2078 High St","Minneapolis","USA","77670","Leslie Cruz","44.98203","-93.22878"
"Jamie Gomez","Metro Corp","MN","Customer","973 Main St","Minneapolis","USA","82481","Quinn Carter","44.99011","-93.28191"
"Dakota Lee","Tideway Labs","MN","Prospect","1658 Main St","Minneapolis","USA","15358","Casey Lin","44.96737","-93.24976"
"Casey Carter","Apex Partners","NY","Prospect","1210 Elizabeth St","New York City","USA","38808","Robin Carter","40.72322","-73.97038"
"Sam Cruz","Cobalt Labs","NY","Customer","1861 Orchard Rd","New York City","USA","81909","Jamie Flores","40.72361","-73.99544"
"Leslie Kim","Apex Industries","NY","Customer","877 Station Rd","New York City","USA","58255","Dakota Ellis","40.71291","-74.04585"
"Robin Turner","Delta Labs","NY","Customer","2162 Congress Ave","New York City","USA","43814","Kendall Cruz","40.73771","-74.00797"
"Riley Gomez","Northstar Group","NY","Customer","1720 King St","New York City","USA","33081","Kendall Gomez","40.69448","-74.00864"
"Sam Turner","Apex Holdings","NY","Customer","1390 Queen St","New York City","USA","59404","Casey Young","40.70938","-74.03911"
"Chris Ellis","Cinder Systems","NY","Customer","436 Lincoln St","New York City","USA","31066","Casey Foster","40.74139","-74.02238"
"Taylor Shah","Apex Corp","NY","Customer","996 Lincoln St","New York City","USA","88500","Casey Carter","40.72328","-74.01815"
"Riley Shah","Catalyst Systems","NY","Prospect","1671 Orchard Rd","New York City","USA","58099","Quinn Young","40.73975","-74.00921"
"Hayden Johnson","Vector Holdings","NY","Prospect","240 Broadway","New York City","USA","73891","Quinn Foster","40.71643","-74.04448"
"Jordan Johnson","Cinder Group","NY","Customer","283 Broadway","New York City","USA","94068","Drew Patel","40.71504","-73.96621"
"Sam Young","Brightline Group","MA","Customer","970 Commerce St","Boston","USA","38748","Sam Lin","42.37541","-71.03617"
"Chris Patel","Tideway Group","MA","Customer","1144 George St","Boston","USA","67163","Riley Johnson","42.38603","-71.09427"
"Jamie Carter","Ironclad Partners","MA","Customer","2076 Commerce St","Boston","USA","50980","Riley Brown","42.36414","-71.03279"
"Casey Lee","Ironclad Group","MA","Customer","240 Market St","Boston","USA","73436","Taylor Flores","42.38658","-71.05528"
"Leslie Carter","Bluewave Systems","MA","Prospect","1674 Marina Blvd","Boston","USA","91433","Chris Hall","42.33173","-71.02949"
"Jamie Brown","Lumen Partners","MA","Customer","736 Market St","Boston","USA","68660","Jamie Foster","42.34345","-71.06739"
"Jordan Patel","Catalyst Group","MA","Prospect","1644 Lincoln St","Boston","USA","76730","Robin Carter","42.36999","-71.06419"
"Taylor Carter","Falcon Labs","MA","Prospect","2318 Broadway","Boston","USA","99667","Sam Flores","42.33819","-71.08577"
"Jamie Lee","Lumen Labs","MA","Prospect","362 Elizabeth St","Boston","USA","41556","Hayden Lin","42.35535","-71.09217"
"Morgan Ellis","Northstar Corp","MA","Customer","2152 Park Ave","Boston","USA","95853","Blake Park","42.3762","-71.07977"
"Robin Shah","Vector Holdings","MA","Customer","763 Commerce St","Boston","USA","30768","Robin Patel","42.38597","-71.0737"
"Taylor Lee","Evergreen Industries","MA","Customer","858 Commerce St","Boston","USA","66484","Chris Turner","42.33561","-71.06174"
"Leslie Ellis","Harbor Holdings","DC","Customer","375 Park Ave","Washington","USA","24723","Chris Lee","38.88788","-77.05331"
"Kendall Carter","Tideway Networks","DC","Prospect","1110 Station Rd","Washington","USA","15726","Jamie Shah","38.90198","-77.02401"
"Kendall Ellis","Lattice Partners","DC","Customer","2349 Station Rd","Washington","USA","23951","Chris Turner","38.89427","-76.99939"
"Chris Lin","Pulse Partners","DC","Customer","868 Orchard Rd","Washington","USA","54364","Sam Brown","38.91114","-77.0293"
"Leslie Cruz","Brightline Holdings","DC","Customer","2234 Congress Ave","Washington","USA","78685","Drew Park","38.89429","-77.0507"
"Quinn Hall","Falcon Partners","DC","Customer","9 Market St","Washington","USA","87410","Blake Park","38.90245","-77.0182"
"Quinn Hall","Acme Group","DC","Prospect","1039 Church St","Washington","USA","79188","Chris Patel","38.92394","-77.06642"
"Riley Turner","Lumen Corp","DC","Customer","638 Queen St","Washington","USA","23485","Quinn Patel","38.8944","-77.02127"
"Riley Turner","Meridian Holdings","DC","Customer","1167 State St","Washington","USA","46098","Morgan Turner","38.91887","-77.06538"
"Quinn Park","Delta Networks","DC","Customer","124 Park Ave","Washington","USA","32021","Taylor Ellis","38.90756","-77.00374"
"Riley Turner","Bluewave Corp","DC","Customer","844 Commerce St","Washington","USA","28594","Dakota Ellis","38.90376","-77.00184"
"Robin Park","Falcon Corp","DC","Customer","992 George St","Washington","USA","90194","Quinn Shah","38.88845","-77.03834"
"Kendall Flores","Harbor Networks","DC","Prospect","1116 King St","Washington","USA","44893","Jamie Foster","38.93174","-77.04217"
"Alex Foster","Summit Group","DC","Prospect","1744 George St","Washington","USA","51196","Leslie Shah","38.92254","-77.00216"
"Casey Cruz","Granite Systems","DC","Customer","542 Lincoln St","Washington","USA","42914","Alex Gomez","38.9248","-77.03608"
"Casey Lin","Evergreen Holdings","GA","Customer","1380 Park Ave","Atlanta","USA","80077","Casey Lee","33.76675","-84.39366"
"Chris Johnson","Orbit Industries","GA","Prospect","1302 Church St","Atlanta","USA","82390","Jordan Cruz","33.74397","-84.40053"
"Ryan Turner","Delta Holdings","GA","Customer","498 Main St","Atlanta","USA","18782","Hayden Lee","33.72725","-84.37125"
"Taylor Carter","Lattice Industries","GA","Customer","451 State St","Atlanta","USA","27617","Kendall Brown","33.73098","-84.40789"
"Robin Kim","Brightline Corp","GA","Customer","1732 Grand Ave","Atlanta","USA","57349","Taylor Cruz","33.71989","-84.35087"
"Morgan Foster","Nimbus Holdings","GA","Customer","266 Church St","Atlanta","USA","73175","Jamie Gomez","33.77867","-84.38327"
"Jamie Carter","Lumen Corp","GA","Customer","2273 Grand Ave","Atlanta","USA","66434","Taylor Turner","33.77108","-84.42311"
"Riley Nguyen","Sequoia Group","GA","Customer","1942 Park Ave","Atlanta","USA","74490","Jordan Kim","33.72469","-84.35482"
"Leslie Gomez","Metro Networks","GA","Customer","399 Orchard Rd","Atlanta","USA","87268","Blake Hall","33.74433","-84.40224"
"Casey Carter","Cinder Systems","FL","Prospect","1136 Elizabeth St","Miami","USA","89086","Dakota Kim","25.74331","-80.15959"
"Casey Lee","Northstar Systems","FL","Customer","1427 Station Rd","Miami","USA","48127","Riley Ellis","25.74188","-80.22813"
"Hayden Carter","Northstar Networks","FL","Customer","1721 George St","Miami","USA","98440","Jordan Gomez","25.73216","-80.15989"
"Dakota Patel","Catalyst Networks","FL","Customer","1145 Station Rd","Miami","USA","88917","Hayden Patel","25.77933","-80.17216"
"Dakota Hall","Evergreen Group","FL","Prospect","8 Orchard Rd","Miami","USA","65600","Blake Lee","25.74411","-80.19476"
"Chris Park","Summit Group","FL","Prospect","1601 Main St","Miami","USA","41618","Robin Ellis","25.74051","-80.18069"
"Jordan Park","Pioneer Partners","FL","Customer","2004 King St","Miami","USA","94762","Kendall Flores","25.73193","-80.15444"
"Dakota Flores","Sequoia Systems","FL","Customer","1977 Commerce St","Miami","USA","62372","Dakota Nguyen","25.7748","-80.20694"
"Hayden Cruz","Nimbus Corp","FL","Customer","1573 Broadway","Miami","USA","73555","Dakota Hall","25.78773","-80.1584"
"Taylor Gomez","Meridian Labs","FL","Prospect","611 Elizabeth St","Miami","USA","42261","Robin Brown","25.74145","-80.16393"
"Sam Carter","Tideway Systems","FL","Customer","997 Church St","Miami","USA","43025","Sam Foster","25.75257","-80.1776"
"Morgan Turner","Vertex Networks","FL","Prospect","1548 State St","Miami","USA","42432","Dakota Cruz","25.73375","-80.18201"
"Dakota Gomez","Nimbus Systems","FL","Prospect","1120 Grand Ave","Miami","USA","92816","Riley Nguyen","25.77528","-80.22618"
"Jordan Foster","Nimbus Labs","ON","Customer","835 Queen St","Toronto","Canada","R8T 2V8","Riley Brown","43.64007","-79.35062"
"Jamie Foster","Cinder Industries","ON","Prospect","2187 High St","Toronto","Canada","A9P 5A1","Ryan Lee","43.62416","-79.35369"
"Sam Nguyen","Vector Networks","ON","Customer","1427 Grand Ave","Toronto","Canada","G5E 7N6","Blake Brown","43.63898","-79.36342"
"Casey Cruz","Lumen Labs","ON","Customer","460 Main St","Toronto","Canada","H8E 2A5","Leslie Cruz","43.64877","-79.39272"
"Taylor Gomez","Orbit Holdings","ON","Prospect","2392 High St","Toronto","Canada","G4S 9S0","Hayden Carter","43.6791","-79.37348"
"Quinn Park","Sequoia Networks","ON","Prospect","730 Church St","Toronto","Canada","J2S 4H0","Hayden Turner","43.63789","-79.36865"
"Dakota Brown","Acme Holdings","ON","Customer","257 Main St","Toronto","Canada","H5Y 6R8","Chris Ellis","43.63679","-79.41788"
"Quinn Shah","Skyline Industries","ON","Prospect","1702 Grand Ave","Toronto","Canada","V5K 2S8","Jamie Cruz","43.66603","-79.38858"
"Jamie Foster","Sequoia Holdings","ON","Customer","1647 Broadway","Toronto","Canada","P0P 1R9","Chris Young","43.62725","-79.37965"
"Dakota Cruz","Bluewave Holdings","BC","Customer","1900 George St","Vancouver","Canada","L9M 4K1","Alex Carter","49.28967","-123.08626"
"Ryan Carter","Orbit Industries","BC","Prospect","717 Peachtree St","Vancouver","Canada","M5M 2M2","Taylor Carter","49.29785","-123.10292"
"Drew Shah","Brightline Corp","BC","Customer","531 Peachtree St","Vancouver","Canada","K9C 5A5","Chris Park","49.27197","-123.13932"
"Jordan Park","Evergreen Systems","BC","Customer","276 Orchard Rd","Vancouver","Canada","Y9T 3Y7","Hayden Young","49.25524","-123.10878"
"Hayden Young","Ironclad Industries","BC","Prospect","720 Queen St","Vancouver","Canada","C1N 2L3","Casey Nguyen","49.28855","-123.12165"
"Leslie Gomez","Pioneer Systems","BC","Prospect","1626 Orchard Rd","Vancouver","Canada","X3P 7X3","Dakota Cruz","49.30486","-123.15384"
"Hayden Brown","Orbit Industries","BC","Prospect","496 Lincoln St","Vancouver","Canada","H2K 1T4","Blake Lee","49.2743","-123.15076"
"Riley Shah","Atlas Holdings","BC","Customer","495 Orchard Rd","Vancouver","Canada","A3T 9B8","Dakota Lee","49.26289","-123.13295"
"Ryan Patel","Pioneer Partners","BC","Prospect","90 Lincoln St","Vancouver","Canada","N1X 5A3","Riley Foster","49.27696","-123.11374"
"Kendall Kim","Acme Industries","BC","Customer","418 Church St","Vancouver","Canada","R5B 2K8","Casey Nguyen","49.27487","-123.12282"
"Leslie Gomez","Cobalt Corp","BC","Customer","1673 Congress Ave","Vancouver","Canada","K8L 8T4","Blake Lee","49.28366","-123.14034"
"Drew Young","Vector Industries","BC","Customer","1293 Broadway","Vancouver","Canada","A4K 9C3","Taylor Brown","49.25523","-123.09091"
"Ryan Lin","Vertex Networks","BC","Customer","2322 State St","Vancouver","Canada","X6N 3K0","Quinn Johnson","49.27469","-123.09324"
"Hayden Brown","Acme Labs","BC","Customer","2396 Park Ave","Vancouver","Canada","J1C 0G4","Casey Gomez","49.2767","-123.0964"
"Drew Gomez","Catalyst Labs","CDMX","Customer","183 Commerce St","Mexico City","Mexico","29870","Jamie Nguyen","19.42383","-99.15167"
"Alex Shah","Meridian Corp","CDMX","Customer","386 Elizabeth St","Mexico City","Mexico","80260","Quinn Park","19.40282","-99.17255"
"Ryan Carter","Northstar Labs","CDMX","Prospect","1379 Congress Ave","Mexico City","Mexico","43726","Ryan Young","19.4346","-99.13437"
"Sam Park","Meridian Systems","CDMX","Prospect","1754 Orchard Rd","Mexico City","Mexico","12464","Blake Flores","19.40822","-99.12595"
"Dakota Shah","Vector Industries","CDMX","Customer","334 Lincoln St","Mexico City","Mexico","37568","Kendall Patel","19.46135","-99.10681"
"Morgan Carter","Ironclad Holdings","CDMX","Customer","270 Congress Ave","Mexico City","Mexico","40802","Hayden Hall","19.45756","-99.14536"
"Dakota Hall","Vector Corp","CDMX","Customer","1566 High St","Mexico City","Mexico","25642","Morgan Turner","19.43087","-99.09427"
"Casey Cruz","Horizon Holdings","CDMX","Customer","1263 Marina Blvd","Mexico City","Mexico","60322","Casey Lin","19.42764","-99.13332"
"Quinn Young","Metro Holdings","CDMX","Prospect","752 Congress Ave","Mexico City","Mexico","59758","Kendall Ellis","19.43169","-99.11274"
"Dakota Park","Tideway Systems","CDMX","Customer","1682 Lincoln St","Mexico City","Mexico","37664","Jamie Kim","19.43441","-99.10356"
"Morgan Ellis","Catalyst Corp","CDMX","Customer","155 Market St","Mexico City","Mexico","71044","Jamie Lee","19.42346","-99.13075"
"Alex Young","Bluewave Networks","CDMX","Customer","575 King St","Mexico City","Mexico","83276","Sam Ellis","19.45353","-99.14541"
"Quinn Ellis","Pulse Group","CDMX","Prospect","1795 Elizabeth St","Mexico City","Mexico","31146","Dakota Kim","19.42834","-99.12947"
"Quinn Park","Pioneer Corp","CDMX","Customer","301 Main St","Mexico City","Mexico","23099","Jamie Flores","19.4074","-99.11614"
"Alex Nguyen","Quantum Networks","CDMX","Customer","274 State St","Mexico City","Mexico","71980","Dakota Cruz","19.42822","-99.13173"
"Ryan Lee","Pulse Industries","CDMX","Customer","1673 Church St","Mexico City","Mexico","16781","Hayden Cruz","19.43168","-99.10087"
"Alex Carter","Vertex Networks","SP","Prospect","833 Queen St","Sao Paulo","Brazil","19156","Taylor Lee","-23.52413","-46.63709"
"Chris Gomez","Pulse Networks","SP","Prospect","1548 Orchard Rd","Sao Paulo","Brazil","4267","Riley Gomez","-23.55711","-46.65112"
"Jamie Cruz","Meridian Corp","SP","Customer","1713 High St","Sao Paulo","Brazil","29875","Ryan Ellis","-23.56104","-46.66423"
"Blake Gomez","Ironclad Group","SP","Customer","1219 Park Ave","Sao Paulo","Brazil","48255","Blake Brown","-23.56868","-46.62267"
"Blake Lin","Summit Partners","SP","Customer","444 Market St","Sao Paulo","Brazil","16645","Robin Kim","-23.57205","-46.65277"
"Kendall Nguyen","Metro Labs","SP","Prospect","1944 Commerce St","Sao Paulo","Brazil","98276","Hayden Shah","-23.55274","-46.6197"
"Hayden Cruz","Cobalt Labs","SP","Customer","1960 Broadway","Sao Paulo","Brazil","90469","Quinn Foster","-23.52161","-46.62565"
"Jordan Park","Tideway Holdings","SP","Customer","1603 George St","Sao Paulo","Brazil","19801","Quinn Hall","-23.54301","-46.59528"
